time,shoulder_flex_angle_filt,shoulder_add_angle_filt,elbow_flex_angle_filt,lumbar_angle_filt,shoulder_flex_vel_filt,shoulder_add_vel_filt,elbow_flex_vel_filt,lumbar_vel_filt,shoulder_flex_acc_filt,shoulder_add_acc_filt,elbow_flex_acc_filt,lumbar_acc_filt
1.12,8.875585358893863,-58.99204011980819,88.79968842901204,-21.846295238569443,217.0296046025652,-104.4414609831053,305.66346601890535,30.581814104707327,1926.2096759485685,1679.1429355003247,52.36506438445521,512.0143588690485
1.13,11.371272235822358,-59.86332037014816,91.72665568805546,-21.489067962636348,237.23484600239814,-86.62535389603241,305.3080455104984,35.446881512659374,1821.2655671795596,1813.347533605004,-21.30901713993846,485.6032100760786
1.14,14.087235164210181,-60.54799514615467,94.64186737219103,-21.085238733061992,255.8792081948618,-67.54044378010039,304.37126615974864,40.013601380403,1687.8150683239185,1939.7373156123513,-101.37963785618295,456.8841411640001
1.15,16.99950014476022,-61.034111868260915,97.5433819382193,-20.638023329480617,272.6456431561027,-47.2720791851136,302.7846850533303,44.26185771618751,1528.236949567582,2056.6843088084775,-188.46383468582576,426.2123266214522
1.16,20.080292205573524,-61.310611983375935,100.42843781462237,-20.15085107386183,287.2551607637083,-25.92179854190727,300.4678109084203,48.17542379111575,1345.4439969609728,2162.5790491815515,-283.03559629749367,393.9478929638268
1.17,23.298696607065388,-61.3674966011661,103.2931815113867,-19.62732564818575,299.4730546656786,-3.6071635117948326,297.3299515121916,51.74199235777422,1142.8146182381743,2255.855142062534,-385.3924923029886,360.4502446738023
1.18,26.621400443372988,-61.195991023244616,106.13242517824898,-19.0711835597355,309.11398661013044,19.538667931573556,293.2726066999976,54.9531433053991,924.1135989500299,2335.0148425388984,-495.626148318725,326.0726279007364
1.19,30.013492810651158,-60.78870512906315,108.93944503217699,-18.486250848774493,316.0457987050386,43.36764217305182,288.19234826496006,57.80425006491634,693.4041148324305,2398.655215109216,-613.5976656787188,291.1570386719969
1.2,33.43929998553395,-60.139786456275495,111.70583085543751,-17.876398743867302,320.1919600418076,67.71779278253872,281.98410965185565,60.29432734157332,454.9533315286285,2445.494388924368,-738.918965599858,256.0295738036489
1.21,36.86323106367984,-59.245062756408885,114.42139509407534,-17.24549907394047,321.53259375305004,92.41450826039058,274.5447918759787,62.42582401920461,213.13408092878515,2474.3973910820796,-870.9408848951032,220.99631172879174
1.22,40.25060929016529,-58.10217082028412,117.0741480279378,-16.597380335301118,320.10407163294906,117.27208138540136,265.7770784275835,64.20436631414188,-27.674809948961283,2484.4010171707464,-1008.7486679406603,186.33979730768252
1.23,43.56846489951982,-56.71066844965198,119.65034312934314,-15.935785376094989,315.99720463328464,142.09553046519838,255.59334149479372,65.63845742144352,-263.1869486793265,2474.7371867367665,-1151.165292585403,152.3161896282615
1.24,46.78626668364322,-55.07212659626891,122.1345941893213,-15.264331689011696,309.35409756445864,166.6826762500075,243.91951507889925,66.73914095315743,-489.30303768583116,2444.8542324525133,-1296.7628419764167,119.15311519325296
1.25,49.876571698926185,-53.190198890805476,124.51006318514663,-14.586475286050476,300.36377392668373,190.82645173655268,230.69880778237527,67.51963637948258,-702.1993692230964,2394.435586067017,-1443.8818964930588,87.04825111933563
1.26,52.815575440714454,-51.07066603937579,126.75871529761733,-13.905479062493779,289.2567108051311,214.31741572555356,215.8951293868102,67.99495541235328,-898.4079585789934,2323.4153519804668,-1590.658677258858,56.16864448924102
1.27,55.58354833330263,-48.72145287976575,128.86163504840252,-13.224386443349248,276.29845314166397,236.94643497222742,199.49611083154193,68.18150878382072,-1074.8863788896792,2231.990300405715,-1735.0594324362846,26.650755278347496
1.28,58.16514834742193,-46.152616272104844,130.79939528600062,-12.546000952425198,261.7825005609037,258.50749425048787,181.51560673947077,68.0967131402724,-1229.0756731987262,2120.6278661212928,-1874.9213271466747,-1.3988081745951086
1.29,60.54960378827386,-43.37630245854087,132.55246876325185,-11.872872162390417,246.02267758342612,278.8005887975374,161.99558296123894,67.75860777611972,-1358.945074167525,1990.0698049850694,-2007.9988846450742,-27.901909856579504
1.3,62.730764620919466,-40.40667306591231,134.1016703770402,-11.20728828390521,229.34520901724966,297.6346495645216,141.00730833907932,67.18549065307515,-1463.0226481325233,1841.3312375270814,-2132.014837139472,-52.806928023439625
1.31,64.70702495383314,-37.2597995367299,135.42861683752344,-10.551275441862195,212.0807263183423,314.83044860375634,118.65178952512281,66.39558258852723,-1540.4113861115097,1675.6948956129731,-2244.7140855501048,-76.0862981140701
1.32,66.48112334032588,-33.95352643661002,136.5161896520287,-9.906603473475165,194.55642772090624,330.22342988740144,95.05940962195119,65.40672765364526,-1590.7906775048646,1494.7004826106977,-2343.91934388176,-97.7336487619014
1.33,68.05983125552554,-30.507304767184213,137.34898689243357,-9.274797870739937,177.08860515810787,343.6664099672266,70.38875496012092,64.23613671386984,-1614.4035101452748,1300.1291576911779,-2427.586960028683,-117.76063283016416
1.34,69.45354335775299,-26.9419970702743,137.91374929687632,-8.657157281621597,159.97573484405393,355.03209321541226,44.82463874402391,62.90017969691159,-1612.030130850854,1093.983258626329,-2493.8613638754023,-136.19356226117162
1.35,70.67578585913085,-23.27965670272173,138.19974685027742,-8.054775783897579,143.49230649268557,364.2153479691044,18.575354805984034,61.41423062184167,-1584.9492622474922,878.4614823347807,-2541.1265973462714,-153.06995920808205
1.36,71.74266143719157,-19.543284170854974,138.19911308104105,-7.468568959862885,127.88353931383452,371.13519274372874,-8.13078147619407,59.792567712065825,-1534.888293904652,655.9298459858982,-2568.0534300934974,-168.43513625178562
1.37,72.67225055744167,-15.756563843921542,137.90711586371947,-6.899302640114113,113.36110210671788,375.7364457579619,-35.049525686824715,58.048329097636376,-1463.964139695202,428.88885118706844,-2573.6406579275035,-182.3389154356314
1.38,73.48398980550134,-11.943584740285395,137.3223554672019,-6.347623063554696,100.09992103862423,377.9909962716713,-61.92533071759509,56.19352274750153,-1374.6166712997672,199.93736715432425,-2557.2493166598233,-194.83258942056602
1.39,74.19804783108377,-8.128549425313881,136.446882858487,-5.814087130634237,88.23612320155858,377.8986625913016,-88.49639001882439,54.23908742328686,-1269.5367943367482,-28.266166599979773,-2518.6287182293886,-205.96621842295758
1.4,74.83471879834411,-4.335475392040478,135.28623377833378,-5.299191415963652,77.86612797006158,375.4876089300183,-114.499966873951,52.19499967849193,-1151.5913251238592,-253.04454388359008,-2457.933424108678,-215.7863440018836
1.41,75.41385186066704,-0.5878936146204765,133.84937675645813,-4.80339865831415,69.04686272397065,370.8143014800625,-139.6778687082518,50.07042030563898,-1023.7468510721212,-471.74386693998247,-2375.7305072756003,-224.3341855669651
1.42,75.95433320172523,3.0914507483832323,132.14857593491053,-4.327160559030429,61.797045791717764,363.9629928954917,-163.78191950957623,47.873872221079154,-888.9947167961463,-681.7761124086722,-2272.99671185015,-231.64436812853435
1.43,76.47363469987778,6.680890304354131,130.19917221921932,-3.8709358876486752,56.099448572414815,355.04473370717363,-186.57928187267754,45.61344062953401,-750.2791738727328,-880.6613778358982,-2151.10539151292,-237.74421083539193
1.44,76.98744038819343,10.160114727707768,128.01928877769976,-3.4352031056867096,51.9040216517677,344.19591879428083,-207.8574830338699,43.29698547682659,-610.4305694131974,-1066.0689860779319,-2011.8033862693633,-242.65358583273985
1.45,77.50935871704039,13.510432156322924,125.62946916770335,-3.020466963930953,49.13174713485697,331.57638670133434,-227.4290064530061,40.932355718349605,-472.105233616555,-1235.8566305175698,-1857.1782740009212,-246.38533656216995
1.46,78.05072530376215,16.715007647812875,123.05225830981605,-2.627258793392642,47.67906200451477,317.3670990939688,-245.13532180226562,38.52759482937289,-337.7334671523784,-1388.1067677745523,-1689.6167005730233,-248.94622448194545
1.47,78.62049749613377,19.759074040383336,120.31173810876682,-2.256130485726978,47.42268551536315,301.76743676556396,-260.8502412848411,36.09112727461842,-209.47673474350162,-1521.159506334098,-1511.7547423315737,-250.3383539798039
1.48,79.22523879938414,22.630111069144707,117.4330307081698,-1.9076424371042562,48.224677688919584,284.9921571204898,-274.48250856457884,33.63191633752984,-89.1948517695638,-1633.6412986049793,-1326.421480386209,-250.56100763568605
1.49,79.86918812966555,25.317989180485927,114.44178315575938,-1.5823460021428442,49.93755591942493,267.268065757665,-285.97754767390614,31.15958476839387,21.57638322989596,-1724.488819278477,-1136.5771606292249,-249.61280858215372
1.5,80.55440606014349,27.815075131877123,111.36364764463514,-1.2807612624261207,52.409302367943866,248.83046146560076,-295.31832243595073,28.684491114301345,121.63699470127229,-1792.9675030102132,-945.2474713516245,-247.4941140583616
1.51,81.28098780870236,30.11629714266489,108.22377148508097,-1.0033511470554264,55.48810585859552,229.91941944304475,-302.52528148334557,26.217756298283767,210.1242895512398,-1838.6843175270903,-755.4555870332392,-244.20953483003555
1.52,82.0473307551134,32.21916806660184,105.0463105518279,-0.7504931395554488,59.02669786688769,210.77598172928313,-307.65538914153234,23.77123696262058,286.50449715827347,-1861.5944620728792,-570.1536990368353,-239.77046932380244
1.53,82.85044283207093,34.12376579338812,101.85397914398793,-0.5224499549410032,62.886162226350926,191.63832654654377,-310.80026751813165,21.357444214308632,350.5554025521129,-1862.0018031637974,-392.15577944795695,-234.19753935519557
1.54,83.68627725267359,35.83267086441599,98.66764799381049,-0.3193406624252928,66.93912157223548,172.7379894386849,-312.0834993647253,18.989408632628397,402.3410352968251,-1840.5529872180296,-224.0733024349462,-227.52281634496256
1.55,84.55007873817941,37.350862113708764,95.50600058486263,-0.1411137552212563,71.07222939285916,154.2962086866476,-311.6571639516796,16.680494637561416,442.17968393735674,-1798.2252998774345,-68.25557887264706,-219.79173291326472
1.56,85.4367266883551,38.685572011683774,92.38525603676072,0.012476374381519125,75.18792391313347,136.5204654813201,-309.69769867614457,14.444169488802345,470.6066650993772,-1736.30847179131,73.2637534799536,-211.06458457456935
1.57,86.34106155799032,39.84610427216797,89.31896466108635,0.1418882074639654,79.20542790820552,119.6012857668687,-306.4011968400638,12.293734204137177,488.3333836516953,-1656.3807572987814,198.8126970333504,-201.41753965123084
1.58,87.25818200827644,40.843617145028674,86.31787999313177,0.2478059441071271,83.06100596449107,103.70936559946917,-301.97826651325266,10.242025472749498,496.2042737198231,-1560.2797329020555,307.1181237799144,-190.94309207650645
1.59,88.18370211515528,41.69087661849506,83.38990876297366,0.33114547396746125,86.7075167396107,88.99307540264898,-296.64858626576654,8.30109912033747,495.1532095628531,-1450.0683738707453,397.33329642759753,-179.74991094682824
1.6,89.113959953299,42.40198446271899,80.54013798325252,0.3930527927031697,90.11332156444968,75.57639078149103,-290.6353005573866,6.481906795579041,486.16092195968963,-1327.997067160672,469.0549605170092,-167.9620618862741
1.61,90.04617114449341,42.99208663355458,77.77093617826996,0.43489448612092135,93.26063152362852,63.557288756313596,-284.15940057284996,4.793978240964512,470.21485305116516,-1196.4623047368214,522.329555452939,-155.71759779967056
1.62,90.9785233723667,43.477068005311885,75.08212381733975,0.458240224705622,96.14339231375615,53.006638592721345,-277.4342352725563,3.245121749718228,448.27273535306335,-1057.9628713510676,557.6483724621177,-143.16653965251808
1.63,91.91021033305347,43.87323970298743,72.47120628182998,0.4648375392542815,98.76481922386067,43.96760606273075,-270.6602924907282,1.841155175418853,421.2309950444717,-915.0543932066721,575.9317713750982,-130.46829073092255
1.64,92.84140602863005,44.19702545365225,69.9336612101557,0.4565794708089,101.13470317753492,36.4555792119708,-264.0203812685764,0.5856791505876305,389.898862916353,-770.3031475244628,578.5028481844653,-117.78854960217569
1.65,93.77318263595949,44.46465337266197,67.4632708402549,0.43546599220625615,103.2666127532464,30.45861278281679,-257.67533457285225,-0.5200969984619109,354.97883665781313,-626.2400470365948,567.0512141010653,-105.29580693796308
1.66,94.70737732018192,44.69185944461709,65.05248901985857,0.4035603721043509,105.17511645438252,25.93837760934355,-251.76033652341584,-1.4774677465459556,317.0538841453767,-485.3157075639118,543.5877972510733,-93.15752874864708
1.67,95.64641523605894,44.89360865452685,62.692831904055005,0.3629418841270222,106.87314439072304,22.83159081158465,-246.38196071466905,-2.2902753470424235,276.5815180276794,-349.85748124460275,510.3918037460119,-81.53614275618831
1.68,96.59309750662364,45.08383927689083,60.37528103260791,0.3156564441768264,108.3695992654014,21.051892719234303,-241.6159867002403,-2.9648806386646993,233.89461606612144,-222.02929330366507,469.9511698819104,-70.58495505297823
1.69,97.5503641354922,45.27523524889903,58.09068749311621,0.26366688040034325,109.66731357890934,20.49212737870465,-237.50604079354122,-3.5100585311575894,189.2086179657457,-103.79505756242783,424.89799684464435,-60.444130423576674
1.7,98.52104256253598,45.47903085298971,55.830166230381316,0.20880459747261423,110.76143382370623,21.026975450975694,-234.06308561588014,-3.9368186622261465,142.63450576017914,3.113633316571945,377.9405796903474,-51.23687145405646
1.71,99.50759289722437,45.70485113259575,53.58547023727549,0.1527243869636346,111.63829380282144,22.515881472677492,-231.26576089942313,-4.258154405326291,94.19677828555237,97.22494069175059,331.7937208049842,-43.06592867833567
1.72,100.51186076385079,45.96059058610514,51.349335318498156,0.0968640580921368,112.27481878551139,24.80621197949499,-229.0615565112198,-4.4887260412638454,43.85546689613039,177.34884001248037,289.1090529493712,-36.01056652981391
1.73,101.53484819034767,46.25233175417948,49.11578729947956,0.042410419929632716,112.63848077646722,27.73657699414346,-227.3687780633242,-4.644486387770888,-8.468885911089117,242.59342838752457,252.40708796014167,-30.12409795721254
1.74,102.5765121056259,46.58430436309069,46.88040489090489,-0.009727058881972998,112.68780350057263,31.14024493764688,-226.0792463244708,-4.742259416468352,-62.86844751864082,292.37522336114023,224.01265495691166,-25.4320845594014
1.75,103.6355988286378,46.95888474044745,44.6405328469601,-0.05893384707432236,112.3733945583156,34.84858016961187,-225.0616544051638,-4.799284289796711,-119.420719472766,326.42332440590656,205.99529836906333,-21.931279475654055
1.76,104.70952149020853,47.37663430642858,42.395441516284016,-0.10489844478716126,111.63946231449115,38.694433097619594,-224.16549173716507,-4.832738746653278,-178.1617661319178,344.7774379004488,200.11607415082983,-19.58936764776579
1.77,105.79428568170619,47.836375086579864,40.14643034099751,-0.1476105556361517,110.42575710910272,42.515415075246125,-223.2254315217329,-4.859256793743574,-239.0612037620257,347.7798941545019,207.78201605062145,-18.34553317380312
1.78,106.88446682889803,48.335299410470384,37.896874288445645,-0.18734927892215375,108.66986090520717,46.15699405231906,-222.06606880981533,-4.894456175674365,-302.0000211009325,336.061908517947,230.00934740863747,-18.111857113558894
1.79,107.97324090308801,48.869110269767525,35.652213585819716,-0.2246616313757257,106.30973699374792,49.475352034639734,-220.50688985029885,-4.952491074563222,-366.75218107004713,310.52445504652087,267.3962930229007,-18.77552215804665
1.8,109.05246816639836,49.432188222776865,33.419888451251964,-0.2603320666005179,103.28644222565116,52.33995170716743,-218.36734986540964,-5.045644922872613,-432.9708005718616,272.31422807792313,320.10610601876675,-20.201773946180936
1.81,110.11282776828794,50.017780261502544,31.209221752708263,-0.29534399650308335,99.54689867851489,54.63576690154858,-215.4719359714916,-5.183977114653046,-500.1795270119183,222.79526213993475,387.86067261140016,-22.237563408184087
