time,quat_w_sensor1,quat_x_sensor1,quat_y_sensor1,quat_z_sensor1,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2,quat_w_sensor3,quat_x_sensor3,quat_y_sensor3,quat_z_sensor3,quat_w_sensor4,quat_x_sensor4,quat_y_sensor4,quat_z_sensor4
1.16,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.93,0.34,0.11,0.0
1.17,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.93,0.34,0.13,0.01
1.18,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.93,0.33,0.15,0.01
1.19,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.93,0.33,0.17,0.02
1.2,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.93,0.32,0.18,0.02
1.21,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.93,0.32,0.2,0.03
1.22,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.92,0.32,0.22,0.03
1.23,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.92,0.32,0.22,0.03
1.24,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.92,0.31,0.24,0.04
1.25,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.91,0.31,0.25,0.04
1.26,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.91,0.31,0.27,0.04
1.27,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.91,0.3,0.28,0.05
1.28,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.91,0.3,0.29,0.05
1.29,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.9,0.3,0.3,0.06
