time,eul_z_sensor1,eul_y_sensor1,eul_x_sensor1,gyro_x_sensor1,gyro_y_sensor1,gyro_z_sensor1,linacc_x_sensor1,linacc_y_sensor1,linacc_z_sensor1
1.49,120.62,2.0,0.0,0.0,0.0,0.0,0.05351552312400001,0.13657094813,0.06644663015999999
1.5,120.62,2.0,0.0,0.0,0.0,0.0,0.053416683124000004,0.11698604812999999,0.045809910159999995
1.51,120.62,2.0,0.0,0.0,0.0,0.0,0.06341196312399999,0.13628784812999997,0.03582407016
1.52,120.62,2.0,0.0,0.0,0.0,0.0,0.073553203124,0.13647734812999998,0.05632071016
1.53,120.62,2.0,0.0,0.0,0.0,0.0,0.04337336312400001,0.11698558813,0.045760950159999994
1.55,120.62,2.0,0.0,0.0,0.0,0.0,0.06336208312399999,0.11679746813000001,0.025411190160000003
1.56,120.62,2.0,0.0,0.0,0.0,0.0,0.073454363124,0.11689244812999999,0.03568399016
1.57,120.62,2.0,0.0,0.0,0.0,0.0,0.053417143124000005,0.12668397813,0.045904430159999995
1.58,120.62,2.0,0.0,0.0,0.0,0.0,0.06341104312399999,0.11689198813,0.03563503016
1.59,120.62,2.0,0.0,0.0,0.0,0.0,0.06346000312399999,0.11698650813,0.045858870159999995
1.6,120.62,2.0,0.0,0.0,0.0,0.0,0.04342186312400001,0.10738217812999999,0.05589027016
1.61,120.62,2.0,0.0,0.0,0.0,0.0,0.053514603124000006,0.11717508813,0.06625759015999999
1.62,120.62,2.0,0.0,0.0,0.01,0.0,0.063557923124,0.11717554813,0.06630655015999999
1.63,120.62,2.0,0.0,0.0,0.0,0.0,0.073406323124,0.13619378813,0.025649190160000005
1.64,120.62,2.0,0.0,0.0,0.0,0.0,0.06341196312399999,0.13628784812999997,0.03582407016
1.66,120.62,2.0,0.0,0.0,0.01,0.0,0.053367723124000004,0.11689152812999999,0.03558607016
1.67,120.62,2.0,0.0,0.0,0.0,0.0,0.04307960312400001,0.11641846813000001,-0.015582089840000002
1.68,120.62,2.0,0.0,0.0,0.01,0.0,0.04298214312400001,0.12592735813,-0.035935249839999996
1.69,120.62,1.94,0.0,0.0,0.08,0.0,0.094080023124,0.12763101813,0.14833867016000002
1.7,120.62,1.87,0.0,0.02,0.05,0.0,-0.007042756875999999,0.039021768129999995,0.0038646301600000006
1.71,120.62,1.81,0.06,0.02,0.04,0.0,0.093685123124,0.058989348129999994,0.06588631015999999
1.72,120.62,1.81,0.06,0.0,0.06,0.0,0.004182043123999999,0.17706172813,0.25060903015999997
1.73,120.62,1.75,0.06,0.01,0.06,0.0,-0.026292476876,0.13760698813,0.17851719015999998
1.74,120.62,1.62,0.06,0.01,0.05,0.0,-0.016347536875999998,0.12772047813,0.15802395016
1.75,120.62,1.62,0.06,0.01,0.02,0.0,-0.027075376876,0.14579259813,0.015030270159999996
1.77,120.62,1.62,0.06,0.0,0.01,0.0,0.053661943124,0.12715657813,0.09702363016000001
1.78,120.62,1.62,0.06,0.02,0.02,0.0,-0.026981596876,0.05870026813,0.03462727016
1.79,120.62,1.62,0.06,0.01,0.07,0.0,0.134398803124,0.09882262812999999,0.17892247015999999
1.8,120.62,1.56,0.13,0.02,0.05,0.0,0.08403532312400001,0.09853676813,0.14800615016000002
1.81,120.62,1.56,0.13,0.01,0.04,0.0,0.043128563124000006,0.11651298813000001,-0.005358249840000001
1.82,120.62,1.56,0.13,0.0,0.01,0.0,0.073502863124,0.10728903812999999,0.045813310159999995
1.83,120.62,1.56,0.13,0.0,0.01,0.0,0.04337382312400001,0.12668351813,0.045855470159999995
1.84,120.62,1.56,0.13,0.0,0.01,0.0,0.033330043124,0.11698512812999999,0.04571199015999999
1.85,120.62,1.56,0.13,0.0,0.01,0.0,0.033477383124000004,0.12696661813,0.07647803015999999
1.86,120.62,1.56,0.13,0.0,0.01,0.0,0.053367723124000004,0.11689152812999999,0.03558607016
1.87,120.62,1.56,0.13,0.0,0.0,0.0,0.07369962312400001,0.12706297813,0.08689771016
1.88,120.62,1.56,0.13,0.0,0.01,0.0,0.043423243124000005,0.13647596812999999,0.05617383016
1.89,120.62,1.56,0.13,0.0,0.01,0.0,0.06336208312399999,0.11679746813000001,0.025411190160000003
1.9,120.62,1.56,0.13,0.0,0.01,0.0,0.053515063124000006,0.12687301813000001,0.06635211015999999
1.91,120.62,1.56,0.13,0.0,0.0,0.0,0.053416223124000003,0.10728811812999998,0.045715390159999994
