time,eul_z_sensor1,eul_y_sensor1,eul_x_sensor1,gyro_x_sensor1,gyro_y_sensor1,gyro_z_sensor1,linacc_x_sensor1,linacc_y_sensor1,linacc_z_sensor1,quat_w_sensor1,quat_x_sensor1,quat_y_sensor1,quat_z_sensor1
0.36,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.03,0.08,0.69,0.06,0.72,0.06
0.37,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.09,0.69,0.06,0.72,0.06
0.38,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.07,0.69,0.06,0.72,0.06
0.39,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
0.4,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.06,0.69,0.06,0.72,0.06
0.41,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.05,0.08,0.69,0.06,0.72,0.06
0.42,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.11,0.69,0.06,0.72,0.06
0.43,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.06,0.69,0.06,0.72,0.06
0.44,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.08,0.69,0.06,0.72,0.06
0.45,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.08,0.69,0.06,0.72,0.06
0.46,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.06,0.69,0.06,0.72,0.06
0.47,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.08,0.69,0.06,0.72,0.06
0.48,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.07,0.69,0.06,0.72,0.06
0.49,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.06,0.69,0.06,0.72,0.06
0.5,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.05,0.06,0.69,0.06,0.72,0.06
0.51,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.07,0.09,0.69,0.06,0.72,0.06
0.52,9.81,88.19,179.87,0.0,0.0,0.0,0.12,0.05,0.08,0.69,0.06,0.72,0.06
0.53,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.08,0.69,0.06,0.72,0.06
0.54,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.03,0.08,0.69,0.06,0.72,0.06
0.55,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.08,0.69,0.06,0.72,0.06
0.56,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
0.57,9.81,88.19,179.87,0.0,0.0,0.0,0.07,0.06,0.09,0.69,0.06,0.72,0.06
0.58,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.08,0.69,0.06,0.72,0.06
0.59,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.07,0.69,0.06,0.72,0.06
0.6,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.06,0.69,0.06,0.72,0.06
0.61,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.06,0.69,0.06,0.72,0.06
0.62,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.07,0.08,0.69,0.06,0.72,0.06
0.63,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.03,0.05,0.69,0.06,0.72,0.06
0.64,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.09,0.69,0.06,0.72,0.06
0.65,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.1,0.69,0.06,0.72,0.06
0.66,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.09,0.69,0.06,0.72,0.06
0.67,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.05,0.1,0.69,0.06,0.72,0.06
0.68,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.08,0.69,0.06,0.72,0.06
0.69,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.08,0.69,0.06,0.72,0.06
0.7,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.08,0.07,0.69,0.06,0.72,0.06
0.71,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.06,0.69,0.06,0.72,0.06
0.73,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.08,0.69,0.06,0.72,0.06
0.74,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.06,0.69,0.06,0.72,0.06
0.76,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.06,0.69,0.06,0.72,0.06
0.77,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.1,0.69,0.06,0.72,0.06
0.78,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.08,0.69,0.06,0.72,0.06
0.79,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.09,0.69,0.06,0.72,0.06
0.8,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.09,0.69,0.06,0.72,0.06
0.81,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.07,0.69,0.06,0.72,0.06
0.83,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.05,0.69,0.06,0.72,0.06
0.84,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.06,0.69,0.06,0.72,0.06
0.86,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
0.87,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.08,0.69,0.06,0.72,0.06
0.88,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.05,0.08,0.69,0.06,0.72,0.06
0.89,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.1,0.69,0.06,0.72,0.06
0.9,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.07,0.69,0.06,0.72,0.06
0.91,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.09,0.69,0.06,0.72,0.06
0.92,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.06,0.69,0.06,0.72,0.06
0.94,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.1,0.69,0.06,0.72,0.06
0.95,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.06,0.69,0.06,0.72,0.06
0.96,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.08,0.69,0.06,0.72,0.06
0.97,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.09,0.69,0.06,0.72,0.06
0.98,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.07,0.69,0.06,0.72,0.06
0.99,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.08,0.69,0.06,0.72,0.06
1.0,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.02,0.06,0.69,0.06,0.72,0.06
1.01,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.07,0.69,0.06,0.72,0.06
1.02,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.09,0.69,0.06,0.72,0.06
1.04,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.09,0.69,0.06,0.72,0.06
1.05,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.1,0.69,0.06,0.72,0.06
1.06,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.08,0.69,0.06,0.72,0.06
1.07,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.07,0.69,0.06,0.72,0.06
1.08,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.08,0.69,0.06,0.72,0.06
1.09,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.03,0.08,0.69,0.06,0.72,0.06
1.1,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.06,0.69,0.06,0.72,0.06
1.11,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.06,0.69,0.06,0.72,0.06
1.12,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.07,0.69,0.06,0.72,0.06
1.14,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.07,0.69,0.06,0.72,0.06
1.15,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.07,0.69,0.06,0.72,0.06
1.16,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.07,0.69,0.06,0.72,0.06
1.17,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.08,0.69,0.06,0.72,0.06
1.18,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.06,0.69,0.06,0.72,0.06
1.19,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.09,0.69,0.06,0.72,0.06
1.2,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.06,0.69,0.06,0.72,0.06
1.21,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.07,0.69,0.06,0.72,0.06
1.22,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.08,0.69,0.06,0.72,0.06
1.23,9.81,88.19,179.87,0.0,0.01,0.0,0.11,0.04,0.06,0.69,0.06,0.72,0.06
1.24,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.09,0.69,0.06,0.72,0.06
1.25,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.03,0.06,0.69,0.06,0.72,0.06
1.26,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.06,0.69,0.06,0.72,0.06
1.27,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.07,0.69,0.06,0.72,0.06
1.28,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.08,0.69,0.06,0.72,0.06
1.29,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.09,0.69,0.06,0.72,0.06
1.3,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.07,0.69,0.06,0.72,0.06
1.31,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
1.32,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.1,0.69,0.06,0.72,0.06
1.33,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
1.34,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.06,0.07,0.69,0.06,0.72,0.06
1.35,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.08,0.69,0.06,0.72,0.06
1.36,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.07,0.69,0.06,0.72,0.06
1.37,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.06,0.69,0.06,0.72,0.06
1.38,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.02,0.06,0.69,0.06,0.72,0.06
1.39,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.1,0.69,0.06,0.72,0.06
1.4,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.09,0.69,0.06,0.72,0.06
1.41,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.1,0.69,0.06,0.72,0.06
1.42,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.07,0.69,0.06,0.72,0.06
1.43,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.07,0.69,0.06,0.72,0.06
1.44,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.09,0.69,0.06,0.72,0.06
1.45,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.09,0.69,0.06,0.72,0.06
1.47,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.06,0.06,0.69,0.06,0.72,0.06
1.48,9.81,88.19,179.87,0.0,0.0,0.0,0.08,0.05,0.08,0.69,0.06,0.72,0.06
1.49,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.07,0.1,0.69,0.06,0.72,0.06
1.5,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.03,0.08,0.69,0.06,0.72,0.06
1.51,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
1.52,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.09,0.69,0.06,0.72,0.06
1.53,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.07,0.69,0.06,0.72,0.06
1.54,9.81,88.19,179.87,0.0,0.0,0.0,0.12,0.06,0.09,0.69,0.06,0.72,0.06
1.55,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.02,0.09,0.69,0.06,0.72,0.06
1.56,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.06,0.69,0.06,0.72,0.06
1.57,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.08,0.69,0.06,0.72,0.06
1.58,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.08,0.69,0.06,0.72,0.06
1.59,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.06,0.69,0.06,0.72,0.06
1.6,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.07,0.69,0.06,0.72,0.06
1.61,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.06,0.69,0.06,0.72,0.06
1.63,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
1.64,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.06,0.09,0.69,0.06,0.72,0.06
1.66,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.07,0.69,0.06,0.72,0.06
1.67,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.09,0.69,0.06,0.72,0.06
1.68,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.09,0.69,0.06,0.72,0.06
1.69,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.1,0.69,0.06,0.72,0.06
1.7,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.05,0.69,0.06,0.72,0.06
1.71,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.06,0.69,0.06,0.72,0.06
1.72,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.08,0.08,0.69,0.06,0.72,0.06
1.73,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.07,0.69,0.06,0.72,0.06
1.74,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.08,0.69,0.06,0.72,0.06
1.76,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.09,0.69,0.06,0.72,0.06
1.77,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.06,0.69,0.06,0.72,0.06
1.78,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.05,0.69,0.06,0.72,0.06
1.79,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.1,0.69,0.06,0.72,0.06
1.8,9.81,88.19,179.87,0.0,0.01,0.0,0.1,0.05,0.08,0.69,0.06,0.72,0.06
1.81,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.08,0.69,0.06,0.72,0.06
1.82,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.08,0.69,0.06,0.72,0.06
1.83,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.08,0.69,0.06,0.72,0.06
1.85,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.06,0.69,0.06,0.72,0.06
1.86,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.02,0.06,0.69,0.06,0.72,0.06
1.88,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.06,0.69,0.06,0.72,0.06
1.89,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.1,0.69,0.06,0.72,0.06
1.9,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.09,0.69,0.06,0.72,0.06
1.91,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.04,0.04,0.69,0.06,0.72,0.06
1.92,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.03,0.1,0.69,0.06,0.72,0.06
1.93,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
1.94,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.08,0.69,0.06,0.72,0.06
1.95,9.81,88.19,179.87,0.0,0.0,0.0,0.1,0.05,0.07,0.69,0.06,0.72,0.06
1.96,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.07,0.69,0.06,0.72,0.06
1.97,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.04,0.05,0.69,0.06,0.72,0.06
1.98,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.03,0.07,0.69,0.06,0.72,0.06
1.99,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.09,0.69,0.06,0.72,0.06
2.0,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.06,0.69,0.06,0.72,0.06
2.01,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.06,0.08,0.69,0.06,0.72,0.06
2.02,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.08,0.69,0.06,0.72,0.06
2.03,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.05,0.69,0.06,0.72,0.06
2.04,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.07,0.08,0.69,0.06,0.72,0.06
2.05,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.07,0.69,0.06,0.72,0.06
2.06,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.07,0.69,0.06,0.72,0.06
2.07,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.04,0.09,0.69,0.06,0.72,0.06
2.08,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.05,0.04,0.69,0.06,0.72,0.06
2.09,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.08,0.69,0.06,0.72,0.06
2.1,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.05,0.1,0.69,0.06,0.72,0.06
2.11,9.81,88.19,179.87,0.0,0.0,0.0,0.09,0.06,0.05,0.69,0.06,0.72,0.06
2.12,9.81,88.19,179.87,0.0,0.0,0.0,0.11,0.02,0.1,0.69,0.06,0.72,0.06
