time,eul_z_sensor2,eul_y_sensor2,eul_x_sensor2,gyro_x_sensor2,gyro_y_sensor2,gyro_z_sensor2,linacc_x_sensor2,linacc_y_sensor2,linacc_z_sensor2,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2
1.15,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.01,0.69,0.03,0.72,0.02
1.16,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
1.17,356.25,87.94,179.81,0.0,0.0,0.0,0.33,0.03,0.0,0.69,0.03,0.72,0.02
1.18,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
1.19,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.03,0.69,0.03,0.72,0.02
1.2,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.0,0.69,0.03,0.72,0.02
1.21,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.22,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.03,0.69,0.03,0.72,0.02
1.23,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.0,0.69,0.03,0.72,0.02
1.24,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.01,0.69,0.03,0.72,0.02
1.25,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.0,0.69,0.03,0.72,0.02
1.26,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.01,0.69,0.03,0.72,0.02
1.27,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.28,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.01,0.69,0.03,0.72,0.02
1.29,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.03,0.0,0.69,0.03,0.72,0.02
1.3,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.01,0.69,0.03,0.72,0.02
1.31,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.32,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.0,0.01,0.69,0.03,0.72,0.02
1.33,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.04,0.02,0.69,0.03,0.72,0.02
1.34,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.02,0.69,0.03,0.72,0.02
1.35,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
1.36,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.0,0.69,0.03,0.72,0.02
1.37,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.0,0.69,0.03,0.72,0.02
1.38,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
1.4,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
1.41,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.02,0.69,0.03,0.72,0.02
