0.12,-114.94,58.81,170.31,0.08,0.19,0.0,0.27,0.23,0.3,-108.69,86.31,179.38,0.04,0.14,0.06,0.11,0.19,0.06,-180.5,1.75,1.37,0.41,0.24,0.17,0.14,0.04,0.07,-142.62,31.37,16.44,0.1,0.54,0.45,0.9,0.3,0.18
0.13,-114.62,58.25,170.81,0.04,0.24,0.03,0.4,0.33,0.34,-108.69,86.5,179.31,0.04,0.15,0.04,0.33,0.18,0.22,-180.75,1.5,1.81,0.39,0.25,0.19,0.02,0.12,0.41,-142.25,32.06,16.19,0.0899999999999999,0.45,0.29,0.94,0.43,0.16
0.14,-114.5,57.88,171.13,0.02,0.3,0.06,0.45,0.28,0.34,-108.63,86.68999999999998,179.31,0.0899999999999999,0.28,0.0,0.28,0.21,0.28,-181.0,1.19,2.25,0.4,0.28,0.21,0.08,0.04,0.46,-142.25,32.63,16.0,0.02,0.44,0.14,0.39,0.52,0.04
0.15,-114.37,57.44,171.5,0.01,0.36,0.08,0.4,0.2,0.21,-108.56,87.06,179.31,0.1,0.32,0.01,0.06,0.08,0.04,-181.12,1.06,2.5,0.4,0.29,0.22,0.18,0.06,0.6,-142.25,33.13,16.0,0.03,0.56,0.05,0.36,0.37,0.24
0.16,-114.25,56.94,171.81,0.02,0.45,0.11,0.36,0.11,0.04,-108.44,87.37,179.38,0.07,0.3,0.01,0.15,0.03,0.02,-181.56,0.37,3.37,0.45,0.32,0.13,0.06,0.37,0.56,-142.5,33.75,16.25,0.07,0.62,0.23,0.55,0.3,0.74
0.17,-114.25,56.44,172.13,0.04,0.45,0.14,0.49,0.12,0.12,-108.37,87.68999999999998,179.38,0.04,0.28,0.01,0.16,0.01,0.0899999999999999,-181.69,0.405,3.87,0.52,0.44,0.06,0.37,0.46,0.43,-142.87,34.31,16.69,0.13,0.54,0.29,0.37,0.22,0.8499999999999999
0.18,-114.31,55.88,172.44,0.08,0.49,0.16,0.49,0.06,0.15,-108.31,88.0,179.38,0.03,0.31,0.01,0.24,0.1,0.19,-181.56,0.44,4.5,0.57,0.47,0.18,0.49,0.05,0.22,-143.19,34.75,17.12,0.14,0.49,0.31,0.43,0.37,0.54
0.19,-114.5,55.31,172.69,0.15,0.54,0.17,0.59,0.21,0.14,-108.31,88.37,179.38,0.0,0.39,0.03,0.22,0.02,0.26,-181.37,1.0,5.25,0.69,0.44,0.11,0.53,0.11,0.13,-143.62,35.13,17.56,0.13,0.43,0.23,0.29,0.5,0.89
0.2,-115.06,54.06,173.13,0.18,0.63,0.2,0.77,0.33,0.53,-108.31,89.25,179.5,0.06,0.41,0.07,0.26,0.02,0.25,-181.31,1.44,6.0,0.66,0.38,0.07,0.46,0.36,0.37,-143.87,35.5,18.0,0.18,0.34,0.22,0.21,0.39,0.95
0.21,-115.37,53.38,173.31,0.23,0.71,0.23,0.57,0.07,0.45,-108.31,89.56,179.63,0.13,0.45,0.0899999999999999,0.28,0.05,0.22,-181.25,1.87,6.69,0.62,0.34,0.02,0.35,0.6,0.75,-144.25,35.75,18.44,0.19,0.27,0.18,0.42,0.31,0.57
