time,elbow_angle,shoulder_flex_angle,shoulder_add_angle,lumbar_angle,elbow_velocity,shoulder_flex_velocity,shoulder_add_velocity,lumbar_velocity,elbow_acceleration,shoulder_flex_acceleration,shoulder_add_acceleration,lumbar_acceleration
0.33,0.39534369384479656,-0.3018730214734851,-0.03547151301228464,0.010829312259924838,-3.607010767318817,-0.03197748498207316,-0.06567145963356247,0.054587835676233314,23.876869033817812,7.069883955847879,-12.64995085097161,-1.3991160308905113
0.35,0.33948904453214257,-0.3028088505781846,-0.0375700556458406,0.010477888266533448,-3.3333841024928574,0.07211261566696914,-0.24468330694394239,0.027705529321122063,34.5217143311029,8.18614710442391,-15.104359331210741,-1.44644049106034
0.37,0.2849693418601323,-0.30265257929202405,-0.04204014011789189,0.01004675424584552,-2.899484280418322,0.19049037569830246,-0.4544749015387549,0.002451604752177114,45.79443480209157,9.267126511632302,-17.593412296099995,-1.4670271460940727
0.4,0.2342519386186196,-0.3011521503946132,-0.049281282435773434,0.009554898902862307,-2.292887348247476,0.32257965006249517,-0.6954640031413764,-0.020773419901781692,57.58887410570177,10.2916245984383,-20.078470772227025,-1.4605534996542084
0.41,0.19010116580312095,-0.2980531657843396,-0.059694824037175784,0.009016680832518538,-1.5033844763530615,0.4675120381772574,-0.9675836306818586,-0.0416545361843756,69.79496439418587,11.239062668674164,-22.5197105833526,-1.4275265112029432
0.42,0.15554267624554308,-0.2931065534285128,-0.07367781096728122,0.008442129481527469,-0.5231823304962185,0.6241322548663413,-1.2702633584591279,-0.05996371762310219,82.30227176197805,12.089966564334286,-24.877009911492976,-1.369239026507947
0.43,0.1338181764681878,-0.2860764784364224,-0.09161689186198156,0.007837419277691595,0.6529707924458353,0.7910117143817753,-1.6024219131872095,-0.07555863969011133,95.00360704415539,12.82643767206276,-27.11087983958908,-1.2877016600007474
0.45,0.12833147873735828,-0.276748192193419,-0.11388239210090244,0.0072054786336187135,2.027738285616487,0.9664702652084883,-1.9624715349552249,-0.08837895026096783,107.79855993703262,13.432596616742725,-29.183413649705273,-1.1855536599014433
0.46,0.14258724605581208,-0.26493550642165437,-0.14082270854855922,0.006546692447838891,3.60123049694398,1.1486057252223316,-2.3483342651869306,-0.09844044842549385,120.59681022653308,13.894987199204136,-31.05922875752206,-1.0659567958789335
0.48,0.18012422248533924,-0.2504875834419734,-0.17275914676971724,0.005859655283319839,5.371121446674911,1.3353305795877781,-2.7574700169647364,-0.10582756524317752,133.32107150913436,14.20292880925192,-32.70637413249624,-0.9324766624912462
0.49,0.24444511714242143,-0.23329475055721666,-0.20998129143956543,0.005141932542200389,7.332843414556792,1.5244149284168764,-3.186915971902454,-0.11068455703052996,145.90953009492324,14.348806609804198,-34.09717584444469,-0.7889559813727921
0.51,0.3389456209161089,-0.2132930767891885,-0.25274296318337186,0.004390788754451012,9.479852752668064,1.7135345196247156,-3.6333365401801445,-0.11320582128907503,158.31765463332664,14.328290176062328,-35.20899395193259,-0.6393845076145438
0.52,0.46684525923098225,-0.190467495296813,-0.3012587748858159,0.0036038456628240895,11.80395739926758,1.9003224879785312,-4.093082828735099,-0.11362572943595113,170.51927034481457,14.140472949228865,-36.02486532935859,-0.48777000679807847
0.53,0.6311229006421935,-0.16485331438409448,-0.3557012623446786,0.002779638103605476,14.295694015350877,2.082423258183282,-4.562260304053381,-0.11220834167045392,182.50681560227918,13.78792682072561,-36.53400929902647,-0.3380144830953821
0.54,0.834459729103917,-0.1365360317693607,-0.4161985333841945,0.001918042526727964,16.944740579200584,2.2575469713708234,-5.036803129601995,-0.1092373305327537,194.29072793376116,13.276668402442885,-36.73217618524607,-0.19379942583761575
0.55,1.0791923308177187,-0.10564944670376689,-0.48283236112804223,0.001020560979507653,19.740348774855814,2.4235227705425157,-5.512553519378479,-0.10500639401002902,205.89794093487794,12.616036047345496,-36.62182318537887,-0.05848332542522929
0.56,1.3672782365394445,-0.07237214760532203,-0.5556366442081758,9.045207627002023e-05,22.671779669963442,2.578349333922471,-5.985344382485396,-0.09981038926674067,217.36951202487893,11.818479404947432,-36.212107183009,0.06498588513697784
0.59,1.7002758007920664,-0.036922533558263644,-0.6345961700333815,-0.000867290490229082,25.728725992657647,2.7202411674082394,-6.451083524283236,-0.09393736665768518,228.75744142364064,10.899266106201319,-35.51869005894428,0.17414145273266413
0.61,2.0793397069497854,0.00044739991519293756,-0.7196456460273031,-0.0018461023651332354,28.90170470074533,2.8476693392301127,-6.905837684316054,-0.08766163256501683,240.12078224818453,9.876112895041638,-34.56335827098371,0.2670501504172144
0.62,2.505232689296467,0.03945922367055778,-0.8106690065424912,-0.0028381379166254744,32.18240436556927,2.959395538086014,-7.345914691739634,-0.081237920339145,251.5211770649156,8.768750969616617,-33.3734645065877,0.3423456752161052
0.63,2.978353295956576,0.07981586367343738,-0.9074990575915004,-0.003834659351378393,35.56397309014783,3.054498543601558,-7.767941985929145,-0.07489670264470474,263.0179852191083,7.598437323819284,-31.981204716574638,0.39924306757008926
0.64,3.4987787209449537,0.12120968176963096,-1.0099175826311426,-0.004826494843987671,39.041234281807974,3.132392412998548,-8.16893969952426,-0.06884063729972387,274.66318697264353,6.387425436687856,-30.422748704386397,0.4375347207651812
0.66,4.066320952596327,0.16333052689490385,-1.1176560917587584,-0.005804531832261679,42.610819708970645,3.1928359193974165,-8.546386475530666,-0.06324210366306372,286.49626532645317,5.1584097673827305,-28.737246757720413,0.45756908879561475
0.67,4.68059376282593,0.2058734665644207,-1.230397442488166,-0.006760211101420095,46.27121192080648,3.235933030515923,-8.898276222830804,-0.05824175871441029,298.5392747628725,3.9339592187330483,-26.965738649186427,0.4602136720170173
0.69,5.341087438521607,0.24854595285865683,-1.3477785812196905,-0.007685989255902465,50.022691147564345,3.262124481686116,-9.223164104022175,-0.053948021351555145,310.7923073650181,2.7359550433574276,-25.149994623063343,0.44680425166099524
0.71,6.047247669168714,0.2910742280151518,-1.469394641769039,-0.008575741286754037,53.86718495075156,3.2721707523968417,-9.520200167337372,-0.050437379603621255,323.229559464815,1.5850485621011288,-23.331320513576678,0.41908264842697507
0.72,6.798554682137804,0.33320882664427026,-1.5948045871841816,-0.00942508066033083,57.80802191101727,3.2671269812246586,-9.7891491566928,-0.04775540764401791,335.79618516216834,0.5001535251740339,-21.549360702736173,0.37912549210415164
0.73,7.594598578467057,0.3747290804091233,-1.723538496026502,-0.010231581041822112,61.84959344746042,3.2483105429996177,-10.03039516694869,-0.04591837693439099,348.40609709961626,-0.5020130223864276,-19.84093314021333,0.3292666084488883
0.74,8.435146877233294,0.4154465740297912,-1.8551064820934309,-0.01099489069040378,65.99693055815986,3.217262171209214,-10.244929993797195,-0.04491534791291975,360.9408415470413,-1.4073288750375381,-18.23893016439944,0.2720156607982958
0.76,9.320200525391588,0.45520753725128404,-1.9890091084208084,-0.011716737016045649,70.25520502667575,3.175701650727918,-10.434324307746424,-0.044710634736156385,373.24963661916814,-2.2045930175789126,-16.77131750083325,0.20997563478126063
0.77,10.25003506280588,0.4938941858372999,-2.1247490254045727,-0.012400824315852405,74.62916748655019,3.1254792370589355,-10.600681181644024,-0.04524654487406141,385.150621310863,-2.885771408338123,-15.460261665484246,0.14576163422798843
0.79,11.22522423345163,0.5314250469082344,-2.261843442847445,-0.013052632237640974,79.12253745559859,3.0685240702134755,-10.746571995443553,-0.04644630672302257,396.4333198051152,-3.44615562976029,-14.321413080719365,0.08192327460888128
0.81,12.246644084648075,0.5677543220153516,-2.399836949523035,-0.013679126256068742,83.73736267839571,3.0067909267827044,-10.874955273214988,-0.04821711057059783,406.862280293981,-3.8844302135845368,-13.363368485242374,0.020872726734541
0.82,13.31545647470374,0.6028703570421147,-2.538314130756861,-0.01428839462307577,88.4733665961751,2.942206679483392,-10.98907952819285,-0.0504532001047155,416.1818010165468,-4.202646910236296,-12.587331679634666,-0.03517981207151175
0.83,14.433071886830897,0.6367933021953696,-2.6769114082436416,-0.014889228940362787,93.32730356158594,2.8766178103757114,-11.09237169588648,-0.05303896248269207,424.12161053376485,-4.40610667281745,-11.986986377592686,-0.08428174945204886
0.84,15.601092483616528,0.6695720577813677,-2.815327534969926,-0.015490667584982175,98.29234192897299,2.811740267583951,-11.188313261105614,-0.05585197445779775,430.4033281322423,-4.503152625697404,-11.548589100099274,-0.12478369151249492
0.85,16.821237378155942,0.7012806113494414,-2.953332216155852,-0.016101522482492147,103.35749592179098,2.749112888013238,-11.280306788062871,-0.05876597019135961,434.7474979569516,-4.504879752275512,-11.251283877898707,-0.15537419938743055
0.86,18.095253080199342,0.7320138783318845,-3.09077238779028,-0.016729909958920885,108.50712856409893,2.690055547226408,-11.371536273078771,-0.061653703222836774,436.8809702988504,-4.42476942141071,-11.06763424079128,-0.17510325488557257
0.87,19.424812928854706,0.7618831612028171,-3.227575761555446,-0.01738280555462764,113.72054985688605,2.635633144586596,-11.464825525119327,-0.06438968059883896,436.5443964005366,-4.278259108314863,-10.9643617590051,-0.18339432025270697
0.89,20.811409982512895,0.7910113418724188,-3.3637513348210994,-0.01806564092180784,118.97173618407705,2.5866264740285834,-11.562499546150411,-0.06685275121767872,433.4996077284558,-4.0822596611495,-10.90327440898386,-0.18004520106471072
0.9,22.256248249171446,0.8195279196874652,-3.499386665793564,-0.01878195858366073,124.22919776086748,2.543510947391929,-11.666254503158097,-0.06892853284147861,427.5366638480077,-3.8546341185234576,-10.842362386490356,-0.1652182215791226
0.92,23.760137272505755,0.8475640044327256,-3.6346418273478944,-0.019533137726406875,129.45601990774796,2.506444008061178,-11.777042232851706,-0.07051166287772918,418.4803714288101,-3.6136533049285515,-10.737033805935232,-0.1394204911127226
0.93,25.323394930365467,0.8752473710566945,-3.769740077846087,-0.02031820152029422,134.61010045736384,2.4752618857474755,-11.894975211592731,-0.07150785706363472,406.1960978760892,-3.377444155338551,-10.54145814223179,-0.10347527252092928
0.94,26.94576286549813,0.9026976804586069,-3.9049554189088154,-0.021133713785723363,139.64459957036806,2.4494860986417395,-12.01925752677177,-0.07183575799378117,390.5947254888632,-3.1634469149422957,-10.209981444721027,-0.058485656086003174
0.95,28.626338283490174,0.930021967786924,-4.040597340967913,-0.021973770109375946,144.50861000332714,2.428339817825788,-12.148146625580388,-0.07142855262524408,371.6366161154096,-2.9878970265194353,-9.698574444000208,-0.005791892520291684
0.97,30.36352496270901,0.9573104955186278,-4.176993179901771,-0.022830085712658682,149.14804598089165,2.4107738865300843,-12.278949544311152,-0.07023533513180848,349.3344826073289,-2.8653466813342483,-8.96627282423135,0.05307615272382541
1.0,32.1550052817622,0.984633062992338,-4.3144686179293155,-0.02369217942337951,153.50673765692343,2.3955019467037904,-12.408055980909785,-0.06822218925717627,323.7550916537448,-2.8082397072573437,-7.976568235738502,0.11644989428857219
1.02,33.997733957552036,1.0120358576561497,-4.453326958749385,-0.0245476499282905,157.5277058048085,2.3810437749618405,-12.531008991238869,-0.06537296288628443,295.0197511063124,-2.826551744718574,-6.6987090992943035,0.18257471392610897
1.03,35.887953094966164,1.0395389267788504,-4.5938278912858435,-0.025382536982047007,161.15457803803807,2.3657755768060587,-12.642612300044888,-0.06168970707769739,263.3035616069764,-2.9275055714839167,-5.1088718856819355,0.2496628940529619
1.04,37.82122717151283,1.067134341824553,-4.736166526423559,-0.026181756362079273,164.33309443828892,2.3479856499141665,-12.737071315890734,-0.057192752660792774,228.83343661951403,-3.11536905254776,-3.1911663266801717,0.3159453014128375
1.05,39.79249578620456,1.0947851201986292,-4.880453540566968,-0.026929593252146326,167.01263887105844,2.3259335369007563,-12.808163102346935,-0.051920400433242433,191.8849186546313,-3.391340602558609,-0.9384419361130526,0.37972041112394533
1.06,41.79614142208358,1.1224249591233253,-5.0266972796071245,-0.027610234865988084,169.14772486020377,2.297910584300255,-12.849429001365284,-0.0459282068277118,152.7778455752868,-3.753524358538201,1.6471317087824264,0.43939938506260395
1.07,43.82606910153992,1.1499588226170685,-5.174788658533453,-0.02820832010439438,170.6993634560758,2.2622997372317366,-12.854382503210362,-0.039287856109249245,111.8709512659403,-4.196994573591157,4.553732330306716,0.4935460773537451
1.08,45.87579462885108,1.1772644043087246,-5.324489631078807,-0.028709482412095956,171.63624558261165,2.217632438064586,-12.816724389066007,-0.032085622508775336,69.55551902645507,-4.713946151354953,7.75981432939197,0.5409110296445688
1.09,47.938538084776354,1.2041944664124098,-5.475425901227167,-0.029100862044582353,171.9356821813904,2.1626406531793383,-12.730557122538423,-0.024420440388446815,26.24824105182491,-5.29392582595252,11.23430690859882,0.5804587334780266
1.1,50.007319334362535,1.2305800295265927,-5.627084408846098,-0.02937156564844393,171.58426063904832,2.0963023036706154,-12.590590861442694,-0.016401616444064366,-17.616530289584006,-5.924136318786886,14.937079727937562,0.6113876684062322
1.11,52.075052506843775,1.2562343600359809,-5.7788159514462585,-0.029513054144409915,170.57819372884262,2.0178786974065765,-12.392334200624122,-0.008146233877866095,-61.59492722540976,-6.589803921852386,18.81966695815886,0.6331428633771682
1.14,54.13463668815408,1.2809576727232352,-5.929843109736293,-0.029519443994081792,168.92335574934697,1.9269429229983839,-12.132263725746387,0.00022368671013050777,-105.24187710860828,-7.274598399551966,22.82623295793234,0.6454209656216354
1.15,56.17904042368307,1.3045424367960694,-6.079273433715191,-0.029387711615554337,166.63501783988903,1.8233985422815384,-11.807967536325613,0.00858419225537427,-148.11933997170635,-7.96109288060786,26.894755668990683,0.6481680257712823
1.17,58.2013780619404,1.3267791454195919,-6.226117628125751,-0.02911779560386944,163.7373089515738,1.70748828062086,-11.418258972028497,0.016812480732805387,-189.80423606055976,-8.631250528705513,30.9583973735638,0.6415704110216371
1.18,60.194976482201625,1.3474623839982471,-6.36931226291058,-0.028712596164110153,160.2624395959817,1.5797927444668973,-10.96325777266339,0.024789969675652068,-229.89583792376726,-9.266924235607746,34.94702685644487,0.6260394329368933
1.2,62.153431336156316,1.366397012891107,-6.507746337810327,-0.02817787547071049,156.2497320813848,1.4412194843321318,-10.444436797979833,0.03240525369281788,-268.02242263243056,-9.850355386636842,38.7888524436117,0.6021904197012754
1.21,64.07065257230254,1.383404267428447,-6.6402908598944554,-0.02752206626931124,151.744504041399,1.2929829692921309,-9.864633255551485,0.039556856479900794,-303.8470093086756,-10.364657929561238,42.41212204895939,0.5708170743261503
1.23,65.94089966136457,1.3983275726222437,-6.7658304540986425,-0.026755998761877228,146.79685257243125,1.1365762511406377,-9.228024179561162,0.04615568825094722,-337.0720443104042,-10.794274555060339,45.74684442750286,0.5328620423656367
1.24,67.75880755075062,1.4110378717508574,-6.883295922092401,-0.025892557604693736,141.46038509790327,0.97373527708045,-8.54006670777353,0.05212712867534924,-367.44293978556465,-11.125392775573655,48.726485429201645,0.4893846672240913
1.25,69.51940489483772,1.4214382768121516,-6.9916965956561565,-0.024946281790808607,135.79094086864413,0.8063969621992239,-7.80740453852043,0.057412667962936106,-394.75041920347286,-11.346310055723144,51.28959422629766,0.4415269400952923
1.26,71.21812648776096,1.429467864655364,-7.090151299993883,-0.02393292052916883,129.84534430321816,0.636652258398914,-7.037742817781746,0.06197105423621942,-418.8316739048672,-11.447738867647164,53.381317222758845,0.3904786567002036
1.28,72.85082202385033,1.4351044655665477,-7.177916753892689,-0.022868958350618827,123.68022840868996,0.46669555488202685,-6.239694592141848,0.06577891309749503,-439.57038505801995,-11.423044555168353,54.95476149260021,0.33744277563356845
1.31,74.41376329791154,1.4383663212607694,-7.254412291314466,-0.02177112296488971,117.35096308743627,0.2987718144469675,-5.422602820903405,0.06883082438594643,-456.89571185155665,-11.268411082843595,55.97217477448976,0.2836019337119474
1.34,75.90365172707267,1.4393125264395197,-7.3192398964291,-0.020655890076447418,110.91071853822636,0.13512288500349354,-4.596342694449418,0.07113886029494128,-470.7803843186431,-10.982931965128362,56.405914705168975,0.23008701161537107
1.35,77.31762765188698,1.4380422117429865,-7.372198703803473,-0.019539000317432453,104.40968744080486,-0.022065578318894517,-3.7711095752016375,0.07273160704299876,-481.23806324282344,-10.568625759721604,56.23918551958401,0.17794855770448625
1.36,78.6532823051613,1.4346924749076444,-7.413293326896021,-0.018435004284816377,97.89448104069758,-0.17071519090445422,-2.957198216656109,0.07365270835853417,-488.3201383775828,-10.03037737856335,55.46652560416509,0.12813177031712947
1.38,79.90867268145237,1.4294351192183812,-7.442735634782824,-0.017356851953753635,91.40770448483431,-0.30890261239285915,-2.1647790369995965,0.07395898301718927,-492.1121321183377,-9.375808137012191,54.09403426045457,0.08145561296260677
1.39,81.08233885616292,1.4224723109452704,-7.460939885608119,-0.016315542172779952,84.98770724459304,-0.43490283282754494,-1.4036771776122123,0.0737181808465385,-492.7298637438767,-8.615079008181628,52.13933128967222,0.038596498381990245
1.42,82.17332264577617,1.4140313166231147,-7.468511426193634,-0.015319846338369556,78.66849639144279,-0.5472269355005617,-0.6831599116612432,0.07300645214047359,-490.31551357737897,-7.760633034544426,49.63124886495027,7.683226068813656e-05
1.43,83.18118592831173,1.4043585227558204,-7.466229458398294,-0.014376117633456252,72.47979430047432,-0.6446534697361284,-0.0117377039870594,0.07190561402066993,-485.03370841597416,-6.826884258661197,46.60926154596088,-0.03374143979491658
1.45,84.10602652037818,1.3937129712634575,-7.455024632655385,-0.013488193549714067,66.44721791656346,-0.7262527512367497,0.603016142624424,0.07050030339415807,-477.0677290627352,-5.8298618029196625,43.122666866068556,-0.06265828391365631
1.46,84.94848929772942,1.3823596612870086,-7.435952439409384,-0.012657395176347628,60.59255379426513,-0.7914036029753212,1.1546227955828676,0.0688751093370971,-466.6159177480841,-4.786818787629181,39.22953533601088,-0.08663217085904204
1.47,85.70977029393765,1.3705628708006419,-7.410163517077086,-0.011882622367269577,54.9341016431896,-0.8398022525479881,1.6378282822957497,0.06711177783975007,-453.8883389308761,-3.7158165887777614,34.995454750928836,-0.10577208574491274
1.49,86.39161182195336,1.358579740324042,-7.378872074609824,-0.011160539699104239,49.48705910989371,-0.871463309330127,2.0487037786143447,0.06528657897578256,-439.1037235381739,-2.635295485132451,30.49209925059786,-0.12032535249803446
1.5,86.99628719523668,1.3466543376900466,-7.343323638763725,-0.010485844270561193,44.26392196811711,-0.8867129527184403,2.3847133923119657,0.0634679208894796,-422.4867059569741,-1.563643018214924,25.795658544906725,-0.13066177997451459
1.53,87.52657430319586,1.3350123900534445,-7.304763287643868,-0.009851603039823515,39.27487654701559,-0.886174665399842,2.6447478878146535,0.06171428667086246,-404.2653457608182,-0.5187713710144675,20.985166870661942,-0.1372547295054373
1.54,87.98571803226531,1.3238568302240565,-7.264405433347642,-0.009249644787597752,34.52816472400097,-0.8707480359573251,2.8291236955819627,0.060072559339983,-384.66891203357795,0.48228525931880717,16.140774319079664,-0.14065977787232534
1.55,88.37738223954356,1.3133642619206967,-7.223406079338893,-0.008670990111561836,30.030405767265535,-0.8415813271392713,2.9395474715268404,0.058576787036665544,-363.92589708606965,1.423742978471359,11.342004925196534,-0.14149170329521063
1.56,88.70559261727816,1.303682405248778,-7.182838314407431,-0.00810630208488691,25.78686349591533,-0.8000386565935607,2.9790474006444425,0.05724742559446146,-342.26221912810854,2.291400871828774,6.66604622216807,-0.14040055380699873
1.57,88.97467228719752,1.2949285417875698,-7.143671626095165,-0.007546340152024298,21.801651541633625,-0.7476627652056885,2.9518733596032023,0.056091079652325584,-319.8995716033444,3.07292600493219,2.186113850191349,-0.13804756708128113
1.58,89.18917230439591,1.2871889399346428,-7.106755432669074,-0.006982400287953304,18.077873879949653,-0.6861344538212022,2.8633689456989475,0.055100747030735996,-297.05388151065773,3.7580842712338502,-2.0300676347753535,-0.13508169856698968
1.61,89.3537994208612,1.280519206977212,-7.072807052850547,-0.006406725344740743,14.61770208984173,-0.6172298489272178,2.7198192117857882,0.05425655481030747,-273.93384952967534,4.338912376001748,-5.921630266656093,-0.13211748098559697
1.62,89.47334346799698,1.2749454856564544,-7.0424041633184595,-0.0058128709141614734,11.422394721349338,-0.5427767057771272,2.528278673264508,0.05352695971853901,-250.73955866333353,4.809828134911121,-9.43574174820496,-0.129714883284909
1.64,89.55260659070038,1.2704663902003792,-7.015981640239319,-0.0051960140250060126,8.49226740024856,-0.4646109669030466,2.296384725808404,0.052870370256517876,-227.66115206598445,5.1676781883263345,-12.528571030012602,-0.12836176186088433
1.65,89.5963363358654,1.2670555599783584,-6.9938325459274315,-0.004553194520819963,5.82662466232709,-0.38453476109737367,2.0321619943601124,0.05223713374136499,-204.8775919924357,5.41172410005772,-15.166019702722275,-0.12845940293839184
1.66,89.60916429774024,1.2646646979247986,-6.976112907444759,-0.0038834817956034046,3.4236659192730614,-0.304276953446186,1.7438233085520243,0.0515718185220745,-182.55551913738094,5.543569553029546,-17.32420538778691,-0.1303115451677546
1.69,89.59555167682181,1.2632269554908138,-6.962849842225683,-0.0031880623789620013,1.2803784752393848,-0.225457245674042,1.439572970004638,0.050815710579549915,-160.84823515550084,5.567032923183027,-18.98969041949577,-0.13411714937797567
1.72,89.55974273684501,1.2626605258907195,-6.9539525178049795,-0.0024702464256001473,-0.6075697306993844,-0.14955468484268616,1.127417756736405,0.04990943503226265,-139.8948314581281,5.487970863394804,-20.159456177270084,-0.13996705221570427
1.74,89.50572676194703,1.262872312489767,-6.949225388739215,-0.0017353934324248813,-2.24592583978237,-0.0778812745071018,0.8149907158569827,0.048795607056643674,-119.81948479896089,5.314059615548183,-20.84063015206932,-0.14784450652001377
1.75,89.43720873930036,1.2637615488171066,-6.9483831331068195,-0.0009907595781083768,-3.6419257718242077,-0.011561202513527023,0.5093922458662276,0.04742141361239361,-100.73093480018163,5.054541553564848,-21.04997894630625,-0.15762947833347266
1.76,89.35758863794692,1.2652232601705296,-6.951066711824613,-0.00024527109239033906,-4.804337145885323,0.048483989684859105,0.21705228722967926,0.045741027449713346,-82.72215099787944,4.719944938232594,-20.81318577480188,-0.16910644328523292
1.78,89.2699488382576,1.2671514732445286,-6.95685999391413,0.0004907698765096881,-5.7434646567426615,0.1015441632806518,-0.056383345247044185,0.043717758661153024,-65.87018861286943,4.321785075185867,-20.163935687886276,-0.18197530875661103
1.79,89.17704900263578,1.2694420987160362,-6.96530642673094,0.0012060382641513004,-6.471113329596128,0.14712331894395536,-0.3061403074074792,0.04132585699268323,-50.23622485490279,3.8722550725169196,-19.142835794289603,-0.19586498757972332
1.8,89.08132747815682,1.2719954312978283,-6.975925278671486,0.0018885870664427805,-7.000507369309757,0.18493654697149944,-0.5283754531994469,0.03855189035278448,-35.865762382804306,3.3839142429774194,-17.796201278940107,-0.21034906803919867
1.82,88.98490819341359,1.2747182314841263,-6.98822703955032,0.00252628309307382,-7.346164620885428,0.21490158575463048,-0.7202085385785549,0.035395641058341636,-22.78898384571933,2.869381905955957,-16.174740923821165,-0.2249629665275459
1.83,88.88961195812772,1.2775253722048894,-7.001727627372577,0.003107262074694429,-7.523728867103645,0.23712552608055149,-0.8797263611515225,0.031870480559411045,-11.021240810525539,2.341043915064388,-14.332178009162746,-0.23922191511091426
1.84,88.79697109338014,1.280341051117807,-7.015961116588953,0.003620385719197543,-7.549764219504534,0.2518873181647091,-1.005960612402695,0.028003204737005682,-0.5636612124568205,1.8107786650114823,-12.323843760244884,-0.2526391272330311
